TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,Cluster,PCA1,PCA2,cluster_label
0.0,126.0,-0.9712754695068417,684.0,1.0,36.0,365.0,186.0,14.0,-1.1102230246251565e-16,1.4237182648914386,0.0,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,105.0,Muda,0.0,1.1094831221598045,-0.5488698044496806,0
1.0,450.0,0.2694396064236744,1192.0,1.0,15.0,50.0,82.0,51.0,-1.1102230246251565e-16,1.3112870641052805,0.0,0.30531436617680696,-0.2067936485059295,2.2164715868484435,192.0,Muda,0.0,2.4278160119237366,0.020968450273225872,0
2.0,17.99999999999997,-0.5868816229808057,1276.0,1.0,23.0,229.0,343.0,8.0,2.0,-1.443277355155591,3.0,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,41.0,,1.0,-1.6547440038029173,-0.6987457024639747,2
3.0,68.0,-0.38745590278222686,823.0,1.0,33.0,182.0,300.0,1.0,2.0,-1.0497681524040379,3.0,-1.353017049514218,-0.2067936485059295,0.8857974429054191,163.0,,0.0,-0.05111065016381274,-1.0178989376971601,0
4.0,406.0,-0.9734680903782914,1959.0,0.0,1.0,298.0,501.0,90.0,2.0,-1.0497681524040379,3.0,1.1201841135422244,-0.2067936485059295,0.5935893646592064,16.0,,2.0,-0.2483288642478733,0.762879334475808,1
5.0,388.0,-0.7038442425922038,639.0,1.0,28.0,562.0,60.0,53.0,-1.1102230246251565e-16,-1.49949295554867,3.0,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,13.0,,1.0,-1.7809668648837451,0.48344283351324957,2
6.0,197.0,-0.9952915199894398,309.0,0.0,39.0,235.0,112.0,18.000000000000004,-1.1102230246251565e-16,-0.4313965480801688,0.0,0.2767224452166169,-0.2067936485059295,2.103091796208713,226.0,,2.0,1.266557434689377,0.15705998525343473,1
7.0,67.0,-0.43226759184248137,842.0,0.0,16.0,483.0,571.0,18.999999999999996,1.0,1.2550714637122016,2.0,2.449708438191063,-0.2067936485059295,-0.5943498275623533,271.0,Muda,2.0,0.4449051037562122,1.545226285466776,1
8.0,133.0,-0.6556065834203091,561.0,0.0,11.0,670.0,370.0,34.0,1.0,0.35562185742293734,1.0,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,290.0,Muda,0.0,1.0394408762046876,-0.45137620295548203,0
9.0,380.0,1.7759071839141245,614.0,1.0,26.0,194.0,393.0,6.0,-1.1102230246251565e-16,0.5804842589952534,0.0,0.005099196094811046,-0.2067936485059295,-1.049294570483005,9.0,Muda,0.0,-0.5365471055538668,-0.28662036175420724,0
10.0,148.0,-0.958633639794889,520.0000000000001,0.0,0.0,200.0,337.0,72.0,2.0,0.41183745781601633,1.0,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,22.0,Muda,0.0,0.8525677800147248,-0.714790986590587,0
11.0,454.0,-0.3685445477659726,237.0,1.0,22.0,572.0,56.0,29.0,2.0,-1.330846154369433,3.0,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,49.0,,1.0,-1.5658579869315508,0.4684597752738948,2
12.0,387.0,0.674663351228483,1047.0,0.0,23.0,31.0,332.0,56.0,1.0,-1.162199353190196,3.0,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,135.0,,1.0,-1.526555070984797,-0.22733289933512993,2
