TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,cluster,Cluster
-0.9712754695068417,684,1,36,0,1.4237182648914384,0,-0.5524432626288959,-0.20679364850592966,-0.0005366350524106569,105,0,0,0
0.26943960642367465,1192,1,15,0,1.3112870641052803,0,0.30531436617680696,-0.20679364850592966,2.2164715868484435,192,0,0,0
-0.5868816229808057,1276,1,23,2,-1.4432773551555909,3,-0.9098422746312719,-0.20679364850592966,-1.0235341282270716,41,1,1,1
-0.38745590278222675,823,1,33,2,-1.0497681524040376,3,-1.3530170495142182,-0.20679364850592966,0.8857974429054191,163,1,0,0
-0.9734680903782914,1959,0,1,2,-1.0497681524040376,3,1.1201841135422246,-0.20679364850592966,0.5935893646592064,16,1,2,2
-0.7038442425922038,639,1,28,0,-1.4994929555486698,3,0.7484891410597533,-0.20679364850592966,-1.1108816933044958,13,1,1,1
-0.9952915199894398,309,0,39,0,-0.4313965480801687,0,0.2767224452166169,-0.20679364850592966,2.103091796208713,226,1,2,2
-0.43226759184248126,842,0,16,1,1.2550714637122014,2,2.4497084381910637,-0.20679364850592966,-0.5943498275623533,271,0,2,2
-0.6556065834203091,561,0,11,1,0.3556218574229373,1,-0.4809634602284205,-0.20679364850592966,1.0206840106570008,290,0,0,0
1.775907183914125,614,1,26,0,0.5804842589952532,0,0.00509919609481097,-0.20679364850592966,-1.049294570483005,9,0,0,0
-0.958633639794889,520,0,0,2,0.4118374578160162,1,-0.8669543931909868,-0.20679364850592966,0.6372080213386072,22,0,0,0
-0.3685445477659725,237,1,22,2,-1.3308461543694328,3,0.7627851015398482,-0.20679364850592966,-0.9193180502003306,49,1,1,1
0.6746633512284832,1047,0,23,1,-1.1621993531901957,3,-0.12356444822604443,-0.20679364850592966,-0.895931865884976,135,1,1,1
1.6587390060960285,2197,1,22,0,-1.0497681524040376,3,0.0479870775350961,-0.20679364850592966,-1.2626675419268705,43,1,1,1
-0.4474446394370475,286,1,21,2,-1.4994929555486698,3,0.20524264281614157,-0.20679364850592966,-1.2344020780640845,226,1,1,1
0.5750704000831012,2380,1,10,0,-0.4876121484732477,1,0.13376284041566638,-0.20679364850592966,-0.42274174552894844,355,1,1,1
0.8846067996697975,2054,0,2,1,-1.4432773551555909,3,0.5483456943384226,-0.20679364850592966,-1.021249610057465,72,1,1,1
0.6692160587509752,2393,1,8,2,-0.3189653472940107,1,1.634838690825646,-0.20679364850592966,-0.0011109695866326642,327,1,2,2
-0.9555502666944129,356,0,0,1,0.8053466605675692,2,-0.19504425062651967,-0.20679364850592966,0.7266529330633243,337,0,0,0
-0.7746590447998077,1061,0,8,2,-1.4994929555486698,3,0.7056012596194681,-0.20679364850592966,0.3728782439432716,177,1,1,1
-0.8163188413573532,416,1,20,1,1.4799338652845173,2,-1.1671695632729826,-0.20679364850592966,0.16322049901765515,181,0,0,0
-0.7257019319044686,1495,1,19,1,-0.3751809476870897,0,-0.3808917368677552,-0.20679364850592966,1.0337731972516602,110,1,0,0
-0.8407117485522317,1039,1,1,2,-0.3189653472940107,1,0.00509919609481097,-0.20679364850592966,0.9898622453182356,38,1,0,0
0.16529011502981095,807,1,13,2,-1.2746305539763538,3,0.319610326656902,3.1124756489183207,-0.9517038515474685,41,1,1,1
-0.5209316983317309,439,1,33,2,-1.3308461543694328,3,-0.3380038554274701,-0.20679364850592966,-0.8162070533532758,46,1,1,1
-0.9938868722436672,1999,0,15,2,1.1426402629260433,2,2.235269030989638,-0.20679364850592966,-0.3793769242017263,201,0,2,2
-0.17357258871252598,711,1,24,0,-1.2184149535832747,3,0.5483456943384226,6.431744946342571,-1.138657434417119,314,1,2,2
-0.8814122734785179,605,1,25,1,-0.4313965480801687,1,-0.35229981590756515,-0.20679364850592966,-0.6224819637654089,335,1,1,1
